dataset-heading,dataset-heading href,dataset-content,label 2,label 3,label href 3
GCEM - Gestão de Informações de Campos Eletromagnéticos,https://dadosabertos.aneel.gov.br/dataset/gcem-gestao-de-informacoes-de-campos-eletromagneticos,O Gestão de Informações de Campos Elétricos e Magnéticos (GCEM) é um conjunto de diretrizes e informações fornecidas pela Agência Nacional de Energia Elétrica (ANEEL). Ele...,CSV,,
Projetos de Eficiência Energética,https://dadosabertos.aneel.gov.br/dataset/projetos-de-eficiencia-energetica,O Programa de Eficiência Energética tem como objetivo promover o uso eficiente da energia elétrica em todos os setores da economia por meio de projetos que demonstrem a...,CSV,,
Agentes de Geração de Energia Elétrica,https://dadosabertos.aneel.gov.br/dataset/agentes-de-geracao-de-energia-eletrica,"Lista de Agentes de Geração de Energia Elétrica relacionando as Usinas e seus respectivos CEGs, CNPJ e Percentual de Participação por agente na propriedade do empreendimento e o...",CSV,,
SLC - Sistema de Licitações e Contratos,https://dadosabertos.aneel.gov.br/dataset/slc-sistema-de-licitacoes-e-contratos,"Refere-se a todas as contratações realizadas pela ANEEL desde 2004, as quais incluem: contratos, contratos de metas, contratos do credenciamento, Termo de Execução...",CSV,,
BPR - Banco de Preços de Referência (linha de transmissão),https://dadosabertos.aneel.gov.br/dataset/bpr-banco-de-precos-de-referencia-linha-de-transmissao,"O Banco de Preços de Referência da ANEEL é um importante instrumento utilizado no desenvolvimento dos estudos de planejamento e nos processos de autorização, licitação para...",CSV,,
Atos de Outorgas de Geração,https://dadosabertos.aneel.gov.br/dataset/atos-de-outorgas-de-geracao,Contem os documentos emitidos pela ANEEL referentes aos empreendimentos de geração a partir de 2015.,CSV,,
Empreendimento hidrelétrico em estudo,https://dadosabertos.aneel.gov.br/dataset/empreendimento-hidreletrico-em-estudo,Estudo de possíveis empreendimentos hidrelétricos e suas fases de pré-outorga.,CSV,XML,https://dadosabertos.aneel.gov.br/dataset/empreendimento-hidreletrico-em-estudo
FSB - Fiscalização de Segurança de Barragens,https://dadosabertos.aneel.gov.br/dataset/fsb-fiscalizacao-de-seguranca-de-barragens,"A fiscalização de Segurança de Barragens realizada pela ANEEL tem como principal objetivo verificar a conformidade da usina hidrelétrica à legislação vigente do setor elétrico,...",CSV,,
Subsídios Tarifários,https://dadosabertos.aneel.gov.br/dataset/subsidios-tarifarios,"Até o começo da vigência da Lei nº 12.783, de 11 de janeiro de 2013, todos os descontos tarifários, exceto o concedido ao consumidor residencial baixa renda (Tarifa Social de...",CSV,,
BPR - Banco de Preços de Referência (subestação),https://dadosabertos.aneel.gov.br/dataset/bpr-banco-de-precos-de-referencia-subestacao,"O Banco de Preços de Referência da ANEEL é um importante instrumento utilizado no desenvolvimento dos estudos de planejamento e nos processos de autorização, licitação e...",CSV,,
Agentes do Setor Elétrico,https://dadosabertos.aneel.gov.br/dataset/agentes-do-setor-eletrico,"O Cadastro de agentes da ANEEL é um banco de dados oficial, único, atualizado e confiável de informações cadastrais das pessoas, físicas ou jurídicas, de interesse da Agência.
O...",CSV,,
Projetos de P&D em Energia Elétrica,https://dadosabertos.aneel.gov.br/dataset/projetos-de-p-d-em-energia-eletrica,"O Programa de P&D tem como objetivo alocar adequadamente recursos humanos e financeiros em projetos que demonstrem a originalidade, aplicabilidade, relevância e a...",CSV,,
Resultado de leilões de geração e transmissão de energia elétrica,https://dadosabertos.aneel.gov.br/dataset/resultado-de-leiloes,"A Constituição Federal de 1988, em seu artigo 175, determina que a prestação de serviços públicos seja atribuída a concessionários e/ou permissionários sempre mediante...",CSV,,
Conta Desenvolvimento Energético (CDE) - Custeio dos Benefícios Tarifários,https://dadosabertos.aneel.gov.br/dataset/conta-desenvolvimento-energetico-cde-custeio-dos-beneficios-tarifarios,"O Decreto nº 9.022, de 31 de março de 2017, consolidou e atualizou as normas relacionadas à Conta de Desenvolvimento Energético – CDE. Dentre os pontos tratados pelo Decreto,...",CSV,,
Reuniões Públicas da Diretoria,https://dadosabertos.aneel.gov.br/dataset/reunioes-publicas-da-diretoria,"Armazena a quantidade de reuniões ordinárias e extraordinárias por período.
As Reuniões Públicas Ordinárias (RPO) da Diretoria são semanais e as Reuniões Públicas...",CSV,XML,https://dadosabertos.aneel.gov.br/dataset/reunioes-publicas-da-diretoria
SCS - Sistema de Controle de Subvenções e Programas Sociais,https://dadosabertos.aneel.gov.br/dataset/scs-sistema-de-controle-de-subvencoes-e-programas-sociais,As distribuidoras de energia elétrica devem mensalmente encaminhar relatório solicitando a aprovação dos valores de Diferença Mensal de Receita - DMR referentes aos descontos na...,CSV,,
Quantidade de empreendimentos de geração de energia em operação,https://dadosabertos.aneel.gov.br/dataset/empreendimentos-em-operacao,A geração é o segmento da indústria de eletricidade responsável por produzir energia elétrica e injetá-la nos sistemas de transporte (transmissão e distribuição) para que chegue...,CSV,,
Beneficiários da Conta de Desenvolvimento Energético - CDE,https://dadosabertos.aneel.gov.br/dataset/beneficiarios-da-cde,"Atenção:   
Estas informações estão sujeitas a alterações a qualquer momento devido a retificações enviadas pelas distribuidoras.
O Decreto nº 9.022, de 31 de março de 2017,...",CSV,ZIP,https://dadosabertos.aneel.gov.br/dataset/beneficiarios-da-cde
Índice ANEEL de Satisfação do Consumidor (IASC),https://dadosabertos.aneel.gov.br/dataset/indice-aneel-de-satisfacao-do-consumidor-iasc,O Índice ANEEL de satisfação do Consumidor é um indicador que permite avaliar o grau de satisfação do consumidor residencial com relação aos serviços prestados pelas...,CSV,,
Acréscimo anual da potência instalada,https://dadosabertos.aneel.gov.br/dataset/acrescimo-da-potencia-instalada,A geração é o segmento da indústria de eletricidade responsável por produzir energia elétrica e injetá-la nos sistemas de transporte (transmissão e distribuição) para que chegue...,CSV,,
Tarifa Social de Energia Elétrica – Beneficiários (descontinuado),https://dadosabertos.aneel.gov.br/dataset/tarifa-social-de-energia-eletrica-beneficiarios,"Conjunto de dados substituído pelo 
Histórico da quantidade de Unidades Consumidoras e Residencial Baixa-Renda dos...",CSV,XML,https://dadosabertos.aneel.gov.br/dataset/tarifa-social-de-energia-eletrica-beneficiarios
"Projetos Res n° 316/2008, 219/2006 e anteriores (descontinuado)",https://dadosabertos.aneel.gov.br/dataset/projetos-res-n-316-2008-219-2006-e-anteriores,"Dados históricos de projetos por ciclos anuais, expresso em quantidades e valores, de 1999 até 2007.",CSV,XML,https://dadosabertos.aneel.gov.br/dataset/projetos-res-n-316-2008-219-2006-e-anteriores
Fiscalizaçao da Transmissão e Distribuição (descontinuado),https://dadosabertos.aneel.gov.br/dataset/transmissao-e-distribuicao,"Para dados a partir de 2018, buscar Termo de Notificação e Auto de Infração 
Histórico dos totais de quantidades de fiscalização da transmissão e distribuição realizadas pela...",CSV,XML,https://dadosabertos.aneel.gov.br/dataset/transmissao-e-distribuicao
Fiscalização da Geração (descontinuado),https://dadosabertos.aneel.gov.br/dataset/geracao,"Para dados a partir de 2018, buscar Termo de Notificação e Auto de Infração 
Histórico dos totais de quantidades de fiscalização da geração realizadas pela ANEEL de 2012 a 2018.",CSV,XML,https://dadosabertos.aneel.gov.br/dataset/geracao
Fiscalização Econômica e Financeira (descontinuado),https://dadosabertos.aneel.gov.br/dataset/fiscalizacao-economica-e-financeira,"Para dados a partir de 2018, buscar Termo de Notificação e Auto de Infração 
Histórico dos totais de quantidades de fiscalização econômica e financeira realizadas pela ANEEL de...",CSV,XML,https://dadosabertos.aneel.gov.br/dataset/fiscalizacao-economica-e-financeira
Compensação Financeira / Royalties,https://dadosabertos.aneel.gov.br/dataset/compensacao-financeira-royalties,"Histórico de valores apurados em Reais dos percentuais definidos por lei para compensação financeira aos Estados, Municípios e outras entidades relativos à utilização de...",CSV,XML,https://dadosabertos.aneel.gov.br/dataset/compensacao-financeira-royalties
Projetos de P&D – temas estratégicos (descontinuado),https://dadosabertos.aneel.gov.br/dataset/projetos-de-p-d-temas-estrategicos,"Substituído pelo conjunto de dados Projetos de P&D em Energia Elétrica
Projetos de temas estratégicos publicados a partir da Res. Normativa ANEEL nº 316/2008.",CSV,XML,https://dadosabertos.aneel.gov.br/dataset/projetos-de-p-d-temas-estrategicos
"Projetos, Retornos e Investimentos (descontinuado)",https://dadosabertos.aneel.gov.br/dataset/projetos-retornos-e-investimentos,"Substituído pelo conjunto de dados Projetos de Eficiência Energética.
Série histórica de Indicadores Quantitativos de projetos, demanda retirada de ponta em MW, Economias e outros",CSV,XML,https://dadosabertos.aneel.gov.br/dataset/projetos-retornos-e-investimentos
Projetos por tipologia (descontinuado),https://dadosabertos.aneel.gov.br/dataset/projetos-por-tipologia,"Substituído pelo conjunto de dados Projetos de Eficiência Energética.
Quantidade acumulada de projetos, valores de demanda de retirada de ponta em MW, Economias e Investimentos.",CSV,XML,https://dadosabertos.aneel.gov.br/dataset/projetos-por-tipologia
Desempenho das concessionárias de transmissão,https://dadosabertos.aneel.gov.br/dataset/desempenho-das-concessionarias-de-transmissao,"Valores deduzidos das receitas das concessionárias em Reais, em virtude de indisponibilidade por desligamentos intempestivos.",CSV,XML,https://dadosabertos.aneel.gov.br/dataset/desempenho-das-concessionarias-de-transmissao
