SKU,Categoria,Fabricante,Num_Ofertas,Melhor_Preco,Pior_Preco,Preco_Medio,Variacao_%,Distribuidores
FOTUSKP04720KWPMINITRILHOKITSHIBRIDOS,kits,unknown,3,1439.19,38910.00,14049.40,2603.60,"YSH Internal:R$1439.19; YSH B2C:R$1799.00; Estimated:R$38910.00"
FOTUSKP041596KWPMINITRILHOKITS,kits,unknown,3,2812.79,71845.00,26057.93,2454.23,"YSH Internal:R$2812.79; YSH B2C:R$3516.00; Estimated:R$71845.00"
GOODWEGW20KLVMTAFCIIMAGE,componentes,GOODWE,3,700.74,16650.00,6075.58,2276.06,"YSH Internal:R$700.74; YSH B2C:R$876.00; Estimated:R$16650.00"
FOTUSKP04720KWPFIBROCIMENTOKITS,kits,unknown,3,1366.25,32425.00,11833.08,2273.28,"YSH Internal:R$1366.25; YSH B2C:R$1708.00; Estimated:R$32425.00"
NEOSOLARKITS25046,kits,unknown,3,105.72,2500.00,912.57,2264.74,"YSH Internal:R$105.72; YSH B2C:R$131.99; Estimated:R$2500.00"
FOTUSKP04840KWPCERAMICOKITS,kits,unknown,3,1632.51,37825.00,13832.82,2216.98,"YSH Internal:R$1632.51; YSH B2C:R$2040.95; Estimated:R$37825.00"
NEOSOLARCABLES20371,componentes,unknown,3,180.00,4052.99,2491.86,2151.66,"Estimated:R$180.00; YSH Internal:R$3242.60; YSH B2C:R$4052.99"
IMAGEPRODUCT052122,componentes,unknown,3,180.00,4040.00,2483.97,2144.44,"Estimated:R$180.00; YSH Internal:R$3231.92; YSH B2C:R$4040.00"
GROWATTMID20KTL3XL2AFCIIMAGEPRODUCT600308,componentes,GROWATT,3,630.93,14016.63,5145.50,2121.58,"YSH Internal:R$630.93; YSH B2C:R$788.95; N/A:R$14016.63"
FOTUSKP03994KWPMINITRILHOKITS,kits,unknown,3,2040.76,44755.00,16448.92,2093.06,"YSH Internal:R$2040.76; YSH B2C:R$2551.00; Estimated:R$44755.00"
FOTUSKP02994KWPMINITRILHOKITS,kits,unknown,3,2119.35,44755.00,16507.78,2011.73,"YSH Internal:R$2119.35; YSH B2C:R$2648.99; Estimated:R$44755.00"
FOTUSKP02426KWPFIBROCIMENTOKITS,kits,unknown,3,921.31,19195.00,7089.42,1983.45,"YSH Internal:R$921.31; YSH B2C:R$1151.95; Estimated:R$19195.00"
FOTUSKP041596KWPCERAMICOKITS,kits,unknown,3,3502.15,71845.00,26575.03,1951.45,"YSH Internal:R$3502.15; YSH B2C:R$4377.95; Estimated:R$71845.00"
DEYESUN35KG02LVIMAGE,componentes,DEYE,3,1276.62,25925.00,9599.21,1930.75,"YSH Internal:R$1276.62; YSH B2C:R$1596.00; Estimated:R$25925.00"
NEOSOLARCABLES20126,componentes,unknown,3,180.00,3640.00,2243.96,1922.22,"Estimated:R$180.00; YSH Internal:R$2911.87; YSH B2C:R$3640.00"
FOTUSKP041311KWPFIBROCIMENTOKITS,kits,unknown,3,3168.92,59020.00,22049.97,1762.46,"YSH Internal:R$3168.92; YSH B2C:R$3960.99; Estimated:R$59020.00"
222132,componentes,unknown,3,134.37,2500.00,934.12,1760.53,"YSH Internal:R$134.37; YSH B2C:R$168.00; Estimated:R$2500.00"
FOTUSKP02840KWPMINITRILHOKITS,kits,unknown,3,2034.16,37825.00,14134.04,1759.49,"YSH Internal:R$2034.16; YSH B2C:R$2542.95; Estimated:R$37825.00"
FOTUSKP021704KWPFIBROCIMENTOKITS,kits,unknown,3,4228.69,76705.00,28739.90,1713.92,"YSH Internal:R$4228.69; YSH B2C:R$5286.00; Estimated:R$76705.00"
FOTUSKP021278KWPCERAMICOKITS,kits,unknown,3,3215.92,57535.00,21590.31,1689.07,"YSH Internal:R$3215.92; YSH B2C:R$4020.00; Estimated:R$57535.00"
FOTUSKP04798KWPFIBROCIMENTOKITS,kits,unknown,3,2010.73,35935.00,13486.41,1687.16,"YSH Internal:R$2010.73; YSH B2C:R$2513.49; Estimated:R$35935.00"
NEOSOLARKITS25049,kits,unknown,3,141.17,2500.00,939.22,1670.91,"YSH Internal:R$141.17; YSH B2C:R$176.49; Estimated:R$2500.00"
FOTUSKP04480KWPMINITRILHOKITSHIBRIDOS,kits,unknown,3,1468.01,25950.00,9751.00,1667.70,"YSH Internal:R$1468.01; YSH B2C:R$1834.99; Estimated:R$25950.00"
FOTUSKP041368KWPFIBROCIMENTOKITS,kits,unknown,3,3646.55,61585.00,23263.18,1588.86,"YSH Internal:R$3646.55; YSH B2C:R$4557.99; Estimated:R$61585.00"
FOTUSKP04600KWPCERAMICOKITS,kits,unknown,3,1613.72,27025.00,10218.57,1574.70,"YSH Internal:R$1613.72; YSH B2C:R$2016.99; Estimated:R$27025.00"
FOTUSKP04456KWPFIBROCIMENTOKITS,kits,unknown,3,1232.47,20545.00,7772.81,1566.98,"YSH Internal:R$1232.47; YSH B2C:R$1540.95; Estimated:R$20545.00"
NEOSOLARCABLES23053,componentes,unknown,3,180.00,2967.49,1840.47,1548.61,"Estimated:R$180.00; YSH Internal:R$2373.92; YSH B2C:R$2967.49"
FOTUSKP04960KWPCERAMICOKITSHIBRIDOS,kits,unknown,3,3146.90,51870.00,19650.28,1548.29,"YSH Internal:R$3146.90; YSH B2C:R$3933.95; Estimated:R$51870.00"
GOODWEGW100KHTIMAGEPRODUCT600066,componentes,GOODWE,3,4522.64,74250.00,28141.88,1541.74,"YSH Internal:R$4522.64; YSH B2C:R$5652.99; Estimated:R$74250.00"
FOTUSKP041482KWPCERAMICOKITS,kits,unknown,3,4065.52,66715.00,25287.51,1541.00,"YSH Internal:R$4065.52; YSH B2C:R$5082.00; Estimated:R$66715.00"
IMAGEPRODUCT052126,componentes,unknown,3,180.00,2949.00,1829.36,1538.33,"Estimated:R$180.00; YSH Internal:R$2359.09; YSH B2C:R$2949.00"
NEOSOLARCABLES21770,componentes,unknown,3,180.00,2932.00,1819.17,1528.89,"Estimated:R$180.00; YSH Internal:R$2345.50; YSH B2C:R$2932.00"
HUAWEISUN200012KMB0AFCIIMAGEPRODUCT600387,componentes,HUAWEI,3,1371.28,20833.33,7972.87,1419.26,"YSH Internal:R$1371.28; YSH B2C:R$1713.99; N/A:R$20833.33"
ODEXODEXINVGROWATT20000W,componentes,unknown,3,930.26,14016.63,5369.96,1406.74,"YSH Internal:R$930.26; YSH B2C:R$1163.00; N/A:R$14016.63"
GOODWEGW110KHTIMAGEPRODUCT600023,componentes,GOODWE,3,5441.22,81450.00,31231.06,1396.91,"YSH Internal:R$5441.22; YSH B2C:R$6801.95; Estimated:R$81450.00"
GOODWEGW60KSMTAFCIIMAGE,componentes,GOODWE,3,3073.39,45450.00,17455.11,1378.82,"YSH Internal:R$3073.39; YSH B2C:R$3841.95; Estimated:R$45450.00"
SKU192098192098617459006542584963,componentes,unknown,3,850.00,12381.95,7712.44,1356.70,"Estimated:R$850.00; YSH Internal:R$9905.37; YSH B2C:R$12381.95"
NEOSOLARKITS24175,kits,unknown,3,171.98,2500.00,962.33,1353.66,"YSH Internal:R$171.98; YSH B2C:R$215.00; Estimated:R$2500.00"
FOTUSKP02852KWPCERAMICOKITS,kits,unknown,3,2649.39,38365.00,14775.45,1348.07,"YSH Internal:R$2649.39; YSH B2C:R$3311.95; Estimated:R$38365.00"
FOTUSKP021704KWPCERAMICOKITS,kits,unknown,3,5324.30,76705.00,29561.43,1340.66,"YSH Internal:R$5324.30; YSH B2C:R$6654.99; Estimated:R$76705.00"
FOTUSKP02120KWPFIBROCIMENTOKITS,kits,unknown,3,379.65,5425.00,2093.20,1328.95,"YSH Internal:R$379.65; YSH B2C:R$474.95; Estimated:R$5425.00"
FOTUSKP041311KWPMINITRILHOKITS,kits,unknown,3,4131.40,59020.00,22771.80,1328.57,"YSH Internal:R$4131.40; YSH B2C:R$5163.99; Estimated:R$59020.00"
SKU342425342425217591697083547384,componentes,unknown,3,850.00,12026.99,7499.55,1314.94,"Estimated:R$850.00; YSH Internal:R$9621.65; YSH B2C:R$12026.99"
FOTUSKP02960KWPFIBROCIMENTOKITS,kits,unknown,3,3078.14,43225.00,16717.03,1304.26,"YSH Internal:R$3078.14; YSH B2C:R$3847.95; Estimated:R$43225.00"
SKU31383231383217466237808078788,componentes,unknown,3,850.00,11593.99,7239.74,1264.00,"Estimated:R$850.00; YSH Internal:R$9275.22; YSH B2C:R$11593.99"
SKU10678310678317545443332146339,componentes,unknown,3,850.00,11483.49,7173.41,1251.00,"Estimated:R$850.00; YSH Internal:R$9186.73; YSH B2C:R$11483.49"
SKU152147152147117507708324918071,componentes,unknown,3,186.41,2500.00,973.13,1241.13,"YSH Internal:R$186.41; YSH B2C:R$232.99; Estimated:R$2500.00"
GOODWEGW73KLVHTAFCIIMAGE,componentes,GOODWE,3,4113.81,54810.00,21355.27,1232.34,"YSH Internal:R$4113.81; YSH B2C:R$5141.99; Estimated:R$54810.00"
SKU320786320786517496510879977488,componentes,unknown,3,850.00,11183.00,6993.12,1215.65,"Estimated:R$850.00; YSH Internal:R$8946.37; YSH B2C:R$11183.00"
124358,componentes,unknown,3,850.00,11140.95,6967.82,1210.70,"Estimated:R$850.00; YSH Internal:R$8912.52; YSH B2C:R$11140.95"
NEOSOLARCABLES23055,componentes,unknown,3,180.00,2352.99,1471.83,1207.22,"Estimated:R$180.00; YSH Internal:R$1882.49; YSH B2C:R$2352.99"
FOTUSKP04570KWPMINITRILHOKITS,kits,unknown,3,1967.56,25675.00,10034.02,1204.92,"YSH Internal:R$1967.56; YSH B2C:R$2459.49; Estimated:R$25675.00"
FOTUSKP041254KWPCERAMICOKITS,kits,unknown,3,4415.87,56455.00,22130.29,1178.46,"YSH Internal:R$4415.87; YSH B2C:R$5520.00; Estimated:R$56455.00"
IMAGEPRODUCT400188,componentes,unknown,3,850.00,10788.99,6756.74,1169.29,"Estimated:R$850.00; YSH Internal:R$8631.24; YSH B2C:R$10788.99"
SKU215008215008317458709303606537,componentes,unknown,3,850.00,10778.49,6750.43,1168.06,"Estimated:R$850.00; YSH Internal:R$8622.79; YSH B2C:R$10778.49"
FOTUSKP031136KWPFIBROCIMENTOKITS,kits,unknown,3,4110.79,51145.00,20131.43,1144.16,"YSH Internal:R$4110.79; YSH B2C:R$5138.49; Estimated:R$51145.00"
SKU19269719269717459129405742263,componentes,unknown,3,850.00,10542.95,6609.04,1140.35,"Estimated:R$850.00; YSH Internal:R$8434.17; YSH B2C:R$10542.95"
SKU309203309203417460398486954422,componentes,unknown,3,850.00,10525.99,6598.93,1138.35,"Estimated:R$850.00; YSH Internal:R$8420.80; YSH B2C:R$10525.99"
FOTUSKP03426KWPMINITRILHOKITS,kits,unknown,3,1552.41,19195.00,7562.79,1136.46,"YSH Internal:R$1552.41; YSH B2C:R$1940.95; Estimated:R$19195.00"
FOTUSKP02994KWPCERAMICOKITS,kits,unknown,3,3620.00,44755.00,17633.33,1136.33,"YSH Internal:R$3620.00; YSH B2C:R$4525.00; Estimated:R$44755.00"
NEOSOLARINVERTERS21306,componentes,unknown,3,203.67,2500.00,986.21,1127.48,"YSH Internal:R$203.67; YSH B2C:R$254.95; Estimated:R$2500.00"
FOTUSKP03994KWPFIBROCIMENTOKITS,kits,unknown,3,3669.57,44755.00,17670.52,1119.63,"YSH Internal:R$3669.57; YSH B2C:R$4587.00; Estimated:R$44755.00"
NEOSOLARKITS27263,kits,unknown,3,206.79,2500.00,988.43,1108.96,"YSH Internal:R$206.79; YSH B2C:R$258.49; Estimated:R$2500.00"
FOTUSKP041596KWPFIBROCIMENTOKITS,kits,unknown,3,6116.83,71845.00,28535.94,1074.55,"YSH Internal:R$6116.83; YSH B2C:R$7645.99; Estimated:R$71845.00"
FOTUSKP02710KWPFIBROCIMENTOKITS,kits,unknown,3,2745.22,31975.00,12717.39,1064.75,"YSH Internal:R$2745.22; YSH B2C:R$3431.95; Estimated:R$31975.00"
FOTUSKP02568KWPCERAMICOKITS,kits,unknown,3,2227.85,25585.00,10199.28,1048.42,"YSH Internal:R$2227.85; YSH B2C:R$2785.00; Estimated:R$25585.00"
NEOSOLARPOSTS24173,componentes,unknown,3,104.53,1200.00,478.49,1048.00,"YSH Internal:R$104.53; YSH B2C:R$130.95; Estimated:R$1200.00"
FOTUSKP02426KWPMINITRILHOKITS,kits,unknown,3,1686.81,19195.00,7663.59,1037.95,"YSH Internal:R$1686.81; YSH B2C:R$2108.95; Estimated:R$19195.00"
ODEXODEXINVGROWATT3300W,componentes,unknown,3,1232.90,14016.63,5596.84,1036.88,"YSH Internal:R$1232.90; YSH B2C:R$1540.99; N/A:R$14016.63"
FOTUSKP04960KWPFIBROCIMENTOKITS,kits,unknown,3,3904.94,43225.00,17336.98,1006.93,"YSH Internal:R$3904.94; YSH B2C:R$4880.99; Estimated:R$43225.00"
GOODWEGW100KHTIMAGEPRODUCT600126,componentes,GOODWE,3,6747.29,74250.00,29810.43,1000.44,"YSH Internal:R$6747.29; YSH B2C:R$8433.99; Estimated:R$74250.00"
DEYESUN75KG01P3LVIMAGE,componentes,DEYE,3,4849.53,53125.00,21345.51,995.47,"YSH Internal:R$4849.53; YSH B2C:R$6062.00; Estimated:R$53125.00"
GOODWEGW50KSMTAFCIIMAGE,componentes,GOODWE,3,3493.96,38250.00,15370.48,994.75,"YSH Internal:R$3493.96; YSH B2C:R$4367.49; Estimated:R$38250.00"
SKU195201195201417458881777253997,componentes,unknown,3,850.00,9222.00,5816.50,984.94,"Estimated:R$850.00; YSH Internal:R$7377.49; YSH B2C:R$9222.00"
SKU133930133930717458510676818108,componentes,unknown,3,850.00,9212.49,5810.81,983.82,"Estimated:R$850.00; YSH Internal:R$7369.93; YSH B2C:R$9212.49"
FOTUSKP02142KWPMINITRILHOKITS,kits,unknown,3,600.86,6415.00,2588.95,967.64,"YSH Internal:R$600.86; YSH B2C:R$750.99; Estimated:R$6415.00"
IIN00235,componentes,unknown,3,1200.00,12587.00,7952.19,948.92,"Estimated:R$1200.00; YSH Internal:R$10069.57; YSH B2C:R$12587.00"
SKU28798928798917459120523305528,componentes,unknown,3,1200.00,12535.99,7921.65,944.67,"Estimated:R$1200.00; YSH Internal:R$10028.96; YSH B2C:R$12535.99"
NEOSOLARCHARGERS23762,componentes,unknown,3,1200.00,12516.49,7909.88,943.04,"Estimated:R$1200.00; YSH Internal:R$10013.16; YSH B2C:R$12516.49"
IEF00131,componentes,unknown,3,1200.00,12501.49,7900.89,941.79,"Estimated:R$1200.00; YSH Internal:R$10001.17; YSH B2C:R$12501.49"
NEOSOLARSTATIONS25205,componentes,unknown,3,1200.00,12500.95,7900.45,941.75,"Estimated:R$1200.00; YSH Internal:R$10000.41; YSH B2C:R$12500.95"
IEF00023,componentes,unknown,3,1200.00,12440.00,7863.95,936.67,"Estimated:R$1200.00; YSH Internal:R$9951.85; YSH B2C:R$12440.00"
NEOSOLARSTATIONS20121,componentes,unknown,3,1200.00,12406.99,7844.22,933.92,"Estimated:R$1200.00; YSH Internal:R$9925.68; YSH B2C:R$12406.99"
NEOSOLARSTATIONS21769,componentes,unknown,3,1200.00,12405.95,7843.48,933.83,"Estimated:R$1200.00; YSH Internal:R$9924.49; YSH B2C:R$12405.95"
NEOSOLARCHARGERS25024,componentes,unknown,3,1200.00,12381.99,7829.24,931.83,"Estimated:R$1200.00; YSH Internal:R$9905.74; YSH B2C:R$12381.99"
NEOSOLARKITS26985,kits,unknown,3,242.38,2500.00,1015.13,931.44,"YSH Internal:R$242.38; YSH B2C:R$303.00; Estimated:R$2500.00"
IEF00044,componentes,unknown,3,1200.00,12369.00,7821.33,930.75,"Estimated:R$1200.00; YSH Internal:R$9895.00; YSH B2C:R$12369.00"
IIN00310,componentes,unknown,3,1200.00,12323.99,7794.43,927.00,"Estimated:R$1200.00; YSH Internal:R$9859.30; YSH B2C:R$12323.99"
NEOSOLARCHARGERS20858,componentes,unknown,3,1200.00,12307.99,7784.83,925.67,"Estimated:R$1200.00; YSH Internal:R$9846.50; YSH B2C:R$12307.99"
ODEXODEXINVSAJ6000W,componentes,unknown,3,585.18,5986.00,2434.22,922.93,"YSH Internal:R$585.18; YSH B2C:R$731.49; Estimated:R$5986.00"
IMAGEM,componentes,unknown,3,1200.00,12242.99,7745.84,920.25,"Estimated:R$1200.00; YSH Internal:R$9794.52; YSH B2C:R$12242.99"
NEOSOLARCHARGERS24609,componentes,unknown,3,1200.00,12224.95,7734.87,918.75,"Estimated:R$1200.00; YSH Internal:R$9779.67; YSH B2C:R$12224.95"
NEOSOLARCHARGERS23759,componentes,unknown,3,1200.00,12201.00,7720.54,916.75,"Estimated:R$1200.00; YSH Internal:R$9760.62; YSH B2C:R$12201.00"
FOTUSKP04600KWPFIBROCIMENTOKITSHIBRIDOS,kits,unknown,3,3197.84,32430.00,13208.28,914.12,"YSH Internal:R$3197.84; YSH B2C:R$3996.99; Estimated:R$32430.00"
SKU313817313817117466373123721087,componentes,unknown,3,850.00,8618.99,5454.73,914.00,"Estimated:R$850.00; YSH Internal:R$6895.21; YSH B2C:R$8618.99"
IEF00090,componentes,unknown,3,1200.00,12167.00,7700.14,913.92,"Estimated:R$1200.00; YSH Internal:R$9733.43; YSH B2C:R$12167.00"
NEOSOLARCHARGERS27329,componentes,unknown,3,1200.00,12157.99,7694.83,913.17,"Estimated:R$1200.00; YSH Internal:R$9726.51; YSH B2C:R$12157.99"
FOTUSKP041026KWPCERAMICOKITS,kits,unknown,3,4575.44,46195.00,18829.81,909.63,"YSH Internal:R$4575.44; YSH B2C:R$5718.99; Estimated:R$46195.00"
NEOSOLARSTATIONS20925,componentes,unknown,3,1200.00,12084.99,7651.08,907.08,"Estimated:R$1200.00; YSH Internal:R$9668.26; YSH B2C:R$12084.99"
IIN0028220NEP20RAPID20SHUTDOWN2020A20MC4V2,componentes,unknown,3,1200.00,12080.99,7648.61,906.75,"Estimated:R$1200.00; YSH Internal:R$9664.83; YSH B2C:R$12080.99"
