SKU,Categoria,Custo,Preco_Final,Markup_Base_%,Ajuste_%,Markup_Final_%,Margem_Bruta_%,Margem_Liquida_%,Cenario,Canal,Desconto_Canal,Charm_Pricing,Confianca,Ajuste_Tempo,Ajuste_Estoque,Ajuste_Competicao,Ajuste_Segmento,Ajuste_Urgencia,Total_Ajustes
FOTUSKP04855KWPCERAMICOKITS,kits,5797.56,7247.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04855KWPFIBROCIMENTOKITS,kits,1152.63,1441.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04855KWPMINITRILHOKITS,kits,4396.61,5496.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02852KWPCERAMICOKITS,kits,2649.39,3311.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02852KWPFIBROCIMENTOKITS,kits,7237.74,9046.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02852KWPMINITRILHOKITS,kits,7316.29,9144.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03852KWPCERAMICOKITS,kits,7968.32,9959.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03852KWPFIBROCIMENTOKITS,kits,7421.79,9276.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03852KWPMINITRILHOKITS,kits,8240.45,10300.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02840KWPCERAMICOKITS,kits,9946.99,12433.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02840KWPFIBROCIMENTOKITS,kits,7923.88,9905.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02840KWPMINITRILHOKITS,kits,2034.16,2542.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04840KWPCERAMICOKITS,kits,1632.51,2040.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04840KWPFIBROCIMENTOKITS,kits,5771.99,7215.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04840KWPMINITRILHOKITS,kits,7914.94,9893.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04798KWPCERAMICOKITS,kits,5345.80,6681.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04798KWPFIBROCIMENTOKITS,kits,2010.73,2513.49,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04798KWPMINITRILHOKITS,kits,120.22,149.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04600KWPCERAMICOKITSHIBRIDOS,kits,10070.55,12587.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04600KWPFIBROCIMENTOKITSHIBRIDOS,kits,3197.84,3996.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04600KWPMINITRILHOKITSHIBRIDOS,kits,4552.41,5690.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02720KWPCERAMICOKITS,kits,6467.56,8084.49,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02720KWPFIBROCIMENTOKITS,kits,8242.96,10303.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02720KWPMINITRILHOKITS,kits,7716.60,9646.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04720KWPCERAMICOKITS,kits,6322.65,7902.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04720KWPFIBROCIMENTOKITS,kits,1366.25,1708.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04720KWPMINITRILHOKITS,kits,6142.01,7677.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02710KWPCERAMICOKITS,kits,5714.15,7142.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02710KWPFIBROCIMENTOKITS,kits,2745.22,3431.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02710KWPMINITRILHOKITS,kits,5422.58,6777.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03710KWPCERAMICOKITS,kits,6639.65,8299.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03710KWPFIBROCIMENTOKITS,kits,366.40,457.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03710KWPMINITRILHOKITS,kits,3448.63,4311.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04684KWPCERAMICOKITS,kits,7228.25,9034.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04684KWPFIBROCIMENTOKITS,kits,598.11,747.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04684KWPMINITRILHOKITS,kits,5463.97,6830.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02600KWPCERAMICOKITS,kits,7721.83,9651.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02600KWPFIBROCIMENTOKITS,kits,9692.89,12115.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02600KWPMINITRILHOKITS,kits,5561.64,6951.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04600KWPCERAMICOKITS,kits,1613.72,2016.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04600KWPFIBROCIMENTOKITS,kits,8523.14,10654.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04600KWPMINITRILHOKITS,kits,984.19,1229.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04480KWPCERAMICOKITSHIBRIDOS,kits,5152.75,6441.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04480KWPFIBROCIMENTOKITSHIBRIDOS,kits,8519.90,10650.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04480KWPMINITRILHOKITSHIBRIDOS,kits,1468.01,1834.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04570KWPCERAMICOKITS,kits,873.19,1091.49,28,-3,25,20,11,neutro,b2c,0,Não,high,0,0,0,0,0,0
FOTUSKP04570KWPFIBROCIMENTOKITS,kits,3710.74,4638.49,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04570KWPMINITRILHOKITS,kits,1967.56,2459.49,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02568KWPCERAMICOKITS,kits,2227.85,2785.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02568KWPFIBROCIMENTOKITS,kits,451.20,563.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02568KWPMINITRILHOKITS,kits,4896.28,6119.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03568KWPCERAMICOKITS,kits,8958.37,11198.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03568KWPFIBROCIMENTOKITS,kits,9103.98,11380.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03568KWPMINITRILHOKITS,kits,4704.77,5881.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04513KWPCERAMICOKITS,kits,4822.37,6028.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04513KWPFIBROCIMENTOKITS,kits,7548.55,9435.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04513KWPMINITRILHOKITS,kits,5308.16,6634.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02480KWPCERAMICOKITS,kits,6269.93,7837.49,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02480KWPFIBROCIMENTOKITS,kits,9411.12,11764.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02480KWPMINITRILHOKITS,kits,4523.29,5653.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04480KWPFIBROCIMENTOKITS,kits,9682.68,12102.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04480KWPMINITRILHOKITS,kits,4792.90,5990.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04456KWPCERAMICOKITS,kits,4608.41,5760.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04456KWPFIBROCIMENTOKITS,kits,1232.47,1540.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04456KWPMINITRILHOKITS,kits,7619.24,9523.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04360KWPCERAMICOKITSHIBRIDOS,kits,5422.62,6777.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04360KWPFIBROCIMENTOKITSHIBRIDOS,kits,3724.58,4655.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04360KWPMINITRILHOKITSHIBRIDOS,kits,9586.41,11982.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02426KWPCERAMICOKITS,kits,9053.65,11316.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02426KWPFIBROCIMENTOKITS,kits,921.31,1151.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02426KWPMINITRILHOKITS,kits,1686.81,2108.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03426KWPCERAMICOKITS,kits,7923.56,9904.49,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03426KWPFIBROCIMENTOKITS,kits,8923.60,11154.49,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03426KWPMINITRILHOKITS,kits,1552.41,1940.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04399KWPCERAMICOKITS,kits,2003.47,2503.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04399KWPFIBROCIMENTOKITS,kits,9109.49,11387.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04399KWPMINITRILHOKITS,kits,2045.92,2557.49,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02360KWPFIBROCIMENTOKITS,kits,6560.85,8200.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02360KWPMINITRILHOKITS,kits,7346.81,9183.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04360KWPCERAMICOKITS,kits,6610.02,8262.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04360KWPFIBROCIMENTOKITS,kits,5499.36,6873.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04360KWPMINITRILHOKITS,kits,8870.32,11088.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04342KWPCERAMICOKITS,kits,8357.00,10445.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04342KWPFIBROCIMENTOKITS,kits,9964.08,12454.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04342KWPMINITRILHOKITS,kits,9018.88,11273.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04240KWPCERAMICOKITSHIBRIDOS,kits,1616.43,2020.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04240KWPFIBROCIMENTOKITSHIBRIDOS,kits,8119.07,10149.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04240KWPMINITRILHOKITSHIBRIDOS,kits,8018.38,10023.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02284KWPCERAMICOKITS,kits,2149.15,2686.49,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02284KWPFIBROCIMENTOKITS,kits,8197.27,10246.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02284KWPMINITRILHOKITS,kits,3006.60,3757.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03284KWPCERAMICOKITS,kits,3080.28,3849.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03284KWPFIBROCIMENTOKITS,kits,9675.02,12094.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03284KWPMINITRILHOKITS,kits,7315.75,9144.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02240KWPCERAMICOKITS,kits,4777.22,5971.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04240KWPCERAMICOKITS,kits,9035.94,11295.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04240KWPFIBROCIMENTOKITS,kits,3616.31,4519.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04240KWPMINITRILHOKITS,kits,1426.59,1782.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04228KWPCERAMICOKITS,kits,3308.79,4136.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04228KWPFIBROCIMENTOKITS,kits,3587.93,4485.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04228KWPMINITRILHOKITS,kits,4647.28,5808.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04120KWPCERAMICOKITSHIBRIDOS,kits,4373.31,5466.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04120KWPFIBROCIMENTOKITSHIBRIDOS,kits,6862.57,8577.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04120KWPMINITRILHOKITSHIBRIDOS,kits,3155.54,3944.49,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02142KWPCERAMICOKITS,kits,8892.58,11115.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02142KWPFIBROCIMENTOKITS,kits,3261.25,4076.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02142KWPMINITRILHOKITS,kits,600.86,750.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03142KWPCERAMICOKITS,kits,8520.16,10649.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03142KWPFIBROCIMENTOKITS,kits,4980.80,6225.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03142KWPMINITRILHOKITS,kits,5952.54,7440.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02120KWPCERAMICOKITS,kits,1525.08,1905.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02120KWPFIBROCIMENTOKITS,kits,379.65,474.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04120KWPCERAMICOKITS,kits,9355.94,11695.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04120KWPFIBROCIMENTOKITS,kits,7151.58,8939.49,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04120KWPMINITRILHOKITS,kits,5900.48,7375.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04114KWPCERAMICOKITS,kits,7586.33,9483.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04114KWPFIBROCIMENTOKITS,kits,5830.09,7287.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04114KWPMINITRILHOKITS,kits,7155.03,8944.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
